timestamp,cpu_pct,mem_used_gb,mem_total_gb,temp_c
2026-06-26T11:15:46,18.62,0.61,0.88,49.00
2026-06-26T11:15:47,5.04,0.61,0.88,49.00
2026-06-26T11:15:48,2.02,0.61,0.88,49.00
2026-06-26T11:15:49,2.53,0.61,0.88,49.00
2026-06-26T11:15:50,2.27,0.61,0.88,49.00
2026-06-26T11:15:51,18.64,0.61,0.88,49.00
2026-06-26T11:15:52,3.32,0.61,0.88,49.00
2026-06-26T11:15:53,1.28,0.61,0.88,49.00
2026-06-26T11:15:54,3.01,0.61,0.88,49.00
2026-06-26T11:15:55,2.28,0.61,0.88,49.00
2026-06-26T11:15:56,16.88,0.61,0.88,49.00
2026-06-26T11:15:57,3.05,0.61,0.88,49.00
2026-06-26T11:15:58,2.04,0.61,0.88,49.00
2026-06-26T11:15:59,2.76,0.61,0.88,49.00
2026-06-26T11:16:00,1.53,0.61,0.88,49.00
2026-06-26T11:16:01,13.71,0.61,0.88,49.00
2026-06-26T11:16:02,6.53,0.61,0.88,49.00
2026-06-26T11:16:03,5.08,0.61,0.88,49.00
2026-06-26T11:16:04,2.28,0.61,0.88,49.00
2026-06-26T11:16:05,2.03,0.61,0.88,49.00
2026-06-26T11:16:06,6.08,0.61,0.88,49.00
2026-06-26T11:16:07,17.09,0.61,0.88,49.00
2026-06-26T11:16:08,1.77,0.61,0.88,49.00
2026-06-26T11:16:09,2.54,0.61,0.88,49.00
2026-06-26T11:16:10,1.77,0.61,0.88,49.00
2026-06-26T11:16:11,6.78,0.61,0.88,49.00
2026-06-26T11:16:12,14.32,0.61,0.88,49.00
2026-06-26T11:16:13,1.77,0.61,0.88,49.00
2026-06-26T11:16:14,11.93,0.61,0.88,49.00
2026-06-26T11:16:15,4.26,0.61,0.88,49.00
2026-06-26T11:16:16,4.34,0.61,0.88,49.00
2026-06-26T11:16:17,13.92,0.61,0.88,49.00
2026-06-26T11:16:18,3.54,0.61,0.88,49.00
2026-06-26T11:16:19,3.54,0.61,0.88,49.00
2026-06-26T11:16:20,4.02,0.61,0.88,49.00
2026-06-26T11:16:21,6.12,0.61,0.88,49.00
2026-06-26T11:16:22,8.35,0.61,0.88,49.00
2026-06-26T11:16:23,9.90,0.61,0.88,49.00
2026-06-26T11:16:24,3.54,0.61,0.88,49.00
2026-06-26T11:16:25,6.38,0.61,0.88,49.00
